No.,Subject,Subject_2,Gender,Type,No. Entered,No. Sat,Chinese Version %,Performance - 5**,Performance - 5*+,Performance - 5+,Performance - 4+,Performance - 3+,Performance - 2+,Performance - 1+,Performance - U
123,Physical Education,,Female,Number,316,310,,2,7,15,67,151,233,279,31
124,Physical Education,,Female,Percentage,,,80.3,0.6%,2.3%,4.8%,21.6%,48.7%,75.2%,90.0%,10.0%
125,Physical Education,,Total,Number,1384,1341,,4,18,45,209,587,958,1197,144
126,Physical Education,,Total,Percentage,,,87.7,0.3%,1.3%,3.4%,15.6%,43.8%,71.4%,89.3%,10.7%
127,Physics,,Male,Number,8872,8363,,266,1050,2505,4335,6300,7574,8143,220
128,Physics,,Male,Percentage,,,38.3,3.2%,12.6%,30.0%,51.8%,75.3%,90.6%,97.4%,2.6%
129,Physics,,Female,Number,3688,3453,,60,264,744,1530,2449,3073,3374,79
130,Physics,,Female,Percentage,,,34.1,1.7%,7.6%,21.5%,44.3%,70.9%,89.0%,97.7%,2.3%
131,Physics,,Total,Number,12560,11816,,326,1314,3249,5865,8749,10647,11517,299
132,Physics,,Total,Percentage,,,37.1,2.8%,11.1%,27.5%,49.6%,74.0%,90.1%,97.5%,2.5%
133,Technology and Living,Food Science and Technology,Male,Number,47,43,,0,0,0,2,7,20,30,13
134,Technology and Living,Food Science and Technology,Male,Percentage,,,97.7,0.0%,0.0%,0.0%,4.7%,16.3%,46.5%,69.8%,30.2%
135,Technology and Living,Food Science and Technology,Female,Number,139,136,,2,6,15,30,71,113,129,7
136,Technology and Living,Food Science and Technology,Female,Percentage,,,69.1,1.5%,4.4%,11.0%,22.1%,52.2%,83.1%,94.9%,5.1%
137,Technology and Living,Food Science and Technology,Total,Number,186,179,,2,6,15,32,78,133,159,20
138,Technology and Living,Food Science and Technology,Total,Percentage,,,76.0,1.1%,3.4%,8.4%,17.9%,43.6%,74.3%,88.8%,11.2%
139,Technology and Living,"Fashion, Clothing and Textiles",Male,Number,10,8,,0,0,0,1,3,4,8,0
140,Technology and Living,"Fashion, Clothing and Textiles",Male,Percentage,,,100.0,0.0%,0.0%,0.0%,12.5%,37.5%,50.0%,100.0%,0.0%
141,Technology and Living,"Fashion, Clothing and Textiles",Female,Number,39,38,,0,1,3,10,29,37,37,1
142,Technology and Living,"Fashion, Clothing and Textiles",Female,Percentage,,,68.4,0.0%,2.6%,7.9%,26.3%,76.3%,97.4%,97.4%,2.6%
143,Technology and Living,"Fashion, Clothing and Textiles",Total,Number,49,46,,0,1,3,11,32,41,45,1
144,Technology and Living,"Fashion, Clothing and Textiles",Total,Percentage,,,73.9,0.0%,2.2%,6.5%,23.9%,69.6%,89.1%,97.8%,2.2%
145,Tourism and Hospitality Studies,,Male,Number,2057,1876,,8,30,67,238,582,1315,1649,227
146,Tourism and Hospitality Studies,,Male,Percentage,,,90.9,0.4%,1.6%,3.6%,12.7%,31.0%,70.1%,87.9%,12.1%
147,Tourism and Hospitality Studies,,Female,Number,2602,2465,,15,64,156,492,1077,1961,2283,182
148,Tourism and Hospitality Studies,,Female,Percentage,,,87.9,0.6%,2.6%,6.3%,20.0%,43.7%,79.6%,92.6%,7.4%
149,Tourism and Hospitality Studies,,Total,Number,4659,4341,,23,94,223,730,1659,3276,3932,409
150,Tourism and Hospitality Studies,,Total,Percentage,,,89.2,0.5%,2.2%,5.1%,16.8%,38.2%,75.5%,90.6%,9.4%
151,Visual Arts,,Male,Number,939,887,,1,8,29,119,284,625,799,88
152,Visual Arts,,Male,Percentage,,,84.4,0.1%,0.9%,3.3%,13.4%,32.0%,70.5%,90.1%,9.9%
153,Visual Arts,,Female,Number,3043,2968,,27,94,229,825,1730,2625,2850,118
154,Visual Arts,,Female,Percentage,,,83.7,0.9%,3.2%,7.7%,27.8%,58.3%,88.4%,96.0%,4.0%
155,Visual Arts,,Total,Number,3982,3855,,28,102,258,944,2014,3250,3649,206
156,Visual Arts,,Total,Percentage,,,83.9,0.7%,2.6%,6.7%,24.5%,52.2%,84.3%,94.7%,5.3%
157,All Category A subjects# (except Citizenship and Social Development),,Male,Number,135203,129412,,2343,8405,19390,46382,79047,108480,120999,8413
158,All Category A subjects# (except Citizenship and Social Development),,Male,Percentage,,,49.9,1.8%,6.5%,15.0%,35.8%,61.1%,83.8%,93.5%,6.5%
159,All Category A subjects# (except Citizenship and Social Development),,Female,Number,126594,122170,,1566,6386,16332,45540,79256,106492,116589,5581
160,All Category A subjects# (except Citizenship and Social Development),,Female,Percentage,,,46.5,1.3%,5.2%,13.4%,37.3%,64.9%,87.2%,95.4%,4.6%
161,All Category A subjects# (except Citizenship and Social Development),,Total,Number,261797,251582,,3909,14791,35722,91922,158303,214972,237588,13994
162,All Category A subjects# (except Citizenship and Social Development),,Total,Percentage,,,48.3,1.6%,5.9%,14.2%,36.5%,62.9%,85.4%,94.4%,5.6%
